month,credit_amount,credit_term,age,sex,education,product_type,having_children_flg,region,income,family_status,phone_operator,is_client,ID,target
10,11000,6,21,male,Secondary special education,Clothing,0,2,24000,Another,1,1,1232,0
9,8000,6,44,male,Secondary special education,Cell phones,0,2,26000,Another,0,1,1134,0
4,12000,12,26,female,Secondary education,Cell phones,0,2,14000,Married,2,1,471,0
6,19000,8,24,female,Secondary special education,Household appliances,0,2,26000,Another,0,1,699,0
4,30500,6,36,male,Higher education,Furniture,0,0,101000,Married,0,0,524,0
2,18000,12,33,female,Higher education,Household appliances,0,1,36000,Another,0,1,279,0
1,10000,24,23,male,Incomplete higher education,Computers,0,2,21000,Married,1,0,114,1
11,5000,4,22,female,Higher education,Jewelry,0,2,26000,Married,3,1,1493,0
8,84000,36,26,male,Secondary special education,Construction Materials,1,2,27000,Another,1,1,983,0
7,9500,12,49,male,Secondary special education,Cell phones,0,2,11000,Another,0,1,955,1
11,11500,12,24,female,Incomplete higher education,Computers,0,2,18000,Unmarried,0,0,1436,0
9,7500,6,49,male,Secondary special education,Windows & Doors,0,2,16000,Another,0,1,1135,0
12,23500,12,58,male,Secondary education,Household appliances,0,2,8000,Another,2,1,1624,0
8,41000,18,50,male,Secondary special education,Cosmetics and beauty services,1,0,31000,Another,1,1,1024,0
4,9000,4,25,male,Higher education,Cell phones,1,2,26000,Another,2,0,523,0
2,12500,6,32,male,Higher education,Jewelry,1,2,23000,Another,2,0,223,0
2,5500,6,55,female,Secondary special education,Cell phones,1,2,31000,Unmarried,1,0,226,0
11,87000,24,45,male,Higher education,Cosmetics and beauty services,0,1,36000,Another,0,0,1441,0
5,29500,3,22,male,Secondary special education,Cell phones,1,2,16000,Another,0,1,645,0
6,17500,5,27,male,Secondary education,Cell phones,1,2,31000,Another,1,1,717,0
7,23500,10,60,male,Higher education,Clothing,1,0,41000,Another,0,0,933,0
5,15000,12,63,female,Secondary education,Construction Materials,1,2,16000,Another,1,1,667,0
10,19000,4,60,male,Secondary special education,Furniture,0,2,9000,Married,1,0,1276,0
1,10500,10,49,female,Secondary special education,Household appliances,0,0,16000,Another,1,1,85,0
10,5500,6,22,male,Secondary special education,Cell phones,1,2,16000,Another,4,0,1286,0
12,56000,24,59,male,Higher education,Household appliances,0,2,26000,Another,2,1,1554,0
9,19500,12,35,male,Secondary special education,Household appliances,0,2,21000,Another,1,1,1125,0
5,59000,15,31,female,Higher education,Tourism,0,2,61000,Another,0,0,629,0
2,12500,6,60,male,Secondary education,Computers,1,2,21000,Another,1,0,269,0
2,11000,3,29,female,Secondary special education,Furniture,0,1,31000,Another,1,1,150,0
9,14000,10,36,male,Secondary special education,Furniture,1,2,26000,Another,2,0,1209,0
4,39000,12,35,male,Higher education,Furniture,1,2,41000,Married,0,1,492,0
8,15500,3,21,male,Higher education,Household appliances,0,2,46000,Another,0,1,1088,0
10,19500,24,29,female,Secondary special education,Household appliances,1,2,41000,Married,1,1,1280,0
11,13500,6,58,male,Secondary special education,Windows & Doors,0,2,16000,Married,0,1,1541,0
6,6500,6,23,female,Secondary special education,Cell phones,0,2,28000,Married,1,1,718,0
12,7000,12,39,male,Secondary special education,Cell phones,1,2,10000,Married,1,0,1687,1
4,38500,11,22,male,Incomplete higher education,Fitness,0,0,31000,Another,1,0,589,0
9,74000,18,45,male,Incomplete higher education,Household appliances,0,2,56000,Married,0,1,1202,1
6,13500,6,25,female,Secondary special education,Childen's goods,0,2,19000,Another,1,1,726,0
7,19000,10,60,male,Secondary special education,Household appliances,1,2,21000,Unmarried,1,0,823,0
1,15000,6,24,male,Incomplete higher education,Cell phones,1,2,36000,Another,2,0,33,0
6,35500,24,56,male,Higher education,Cosmetics and beauty services,0,2,26000,Married,1,1,793,0
1,22000,9,19,male,Incomplete higher education,Cell phones,0,0,21000,Another,1,1,68,0
9,18000,12,43,male,Higher education,Windows & Doors,1,2,26000,Another,0,0,1144,0
11,28000,10,22,female,Secondary education,Cell phones,0,2,21000,Another,2,1,1410,0
1,26000,6,21,female,Secondary special education,Cell phones,0,0,31000,Another,2,1,9,0
10,9000,10,34,female,Secondary special education,Cell phones,1,2,26000,Another,2,0,1248,0
11,23500,10,39,female,Secondary special education,Household appliances,0,0,39000,Another,0,1,1462,0
9,33000,12,29,female,Higher education,Computers,1,0,36000,Another,2,0,1183,0
5,7500,10,39,male,Secondary special education,Cell phones,1,2,39000,Married,1,1,570,0
12,10500,12,26,male,Higher education,Jewelry,1,2,21000,Another,1,0,1717,0
2,21000,12,26,female,Secondary education,Cell phones,0,2,21000,Another,2,1,196,1
5,13500,12,28,female,Secondary special education,Cell phones,0,2,27000,Another,0,1,661,0
2,6500,6,31,male,Secondary special education,Cell phones,1,2,26000,Another,1,1,172,1
5,13000,12,74,male,Secondary education,Household appliances,0,2,13000,Married,1,1,598,0
11,47000,24,27,female,Secondary special education,Boats,0,2,21000,Married,0,0,1488,0
9,30000,12,51,female,Secondary special education,Cell phones,0,2,46000,Married,1,1,1149,1
9,6000,3,29,female,Higher education,Household appliances,0,2,401000,Another,3,0,1184,0
5,72500,24,27,male,Secondary special education,Household appliances,1,2,26000,Another,0,1,606,0
12,20000,12,22,female,Secondary special education,Household appliances,0,2,28000,Another,0,1,1673,1
12,7500,3,55,male,Secondary education,Household appliances,0,0,31000,Another,0,1,1668,1
4,23000,12,24,male,Secondary special education,Household appliances,0,2,71000,Another,2,1,532,0
7,49000,12,28,female,Secondary special education,Household appliances,0,0,66000,Another,1,0,879,0
4,13500,12,34,male,Higher education,Household appliances,1,2,61000,Another,1,1,479,0
3,31000,6,32,female,Secondary special education,Cell phones,0,2,31000,Another,0,1,296,1
11,35000,18,52,male,Higher education,Cell phones,0,2,24000,Married,2,1,1497,1
7,8000,10,22,female,Secondary special education,Cell phones,1,2,20000,Another,0,1,826,1
8,9500,6,25,female,Secondary special education,Furniture,0,2,16000,Another,2,1,1055,0
8,51500,12,58,male,Secondary education,Household appliances,0,2,11000,Married,1,1,1063,0
7,10000,4,40,female,Secondary special education,Cell phones,1,2,28000,Another,2,0,834,0
1,10500,6,39,male,Higher education,Household appliances,1,2,21000,Married,1,1,40,0
8,26500,6,41,female,Secondary education,Household appliances,0,2,36000,Married,1,0,970,0
12,32000,10,24,female,Higher education,Cell phones,0,1,31000,Married,0,0,1650,0
11,41000,12,40,male,Secondary education,Medical services,1,2,30000,Married,0,1,1518,0
9,19000,12,19,male,Secondary special education,Household appliances,0,2,19000,Another,3,1,1112,1
4,14000,12,40,male,Secondary special education,Household appliances,0,2,18000,Another,4,0,535,0
12,33000,6,60,male,Higher education,Household appliances,0,1,46000,Another,1,1,1657,0
7,101000,18,35,female,Higher education,Furniture,0,1,96000,Another,1,0,902,0
4,9000,6,24,female,Secondary special education,Cell phones,1,2,16000,Married,1,1,507,0
9,7500,3,63,male,Secondary education,Construction Materials,0,2,12000,Another,2,0,1211,0
3,8500,6,40,male,Secondary special education,Jewelry,1,2,26000,Another,3,0,307,0
12,31500,18,20,female,Secondary special education,Cell phones,0,2,21000,Married,1,1,1635,0
12,37500,24,27,male,Higher education,Tourism,0,2,26000,Married,1,1,1714,0
3,52000,18,21,male,Incomplete higher education,Furniture,0,2,26000,Another,1,0,367,0
4,28000,12,32,female,Secondary special education,Household appliances,0,0,43000,Married,2,1,504,0
5,25000,18,42,female,Secondary education,Cell phones,1,2,26000,Married,1,1,656,0
11,12000,4,58,female,Secondary education,Windows & Doors,0,2,12000,Another,1,1,1447,0
2,11000,6,60,female,Secondary special education,Windows & Doors,1,2,21000,Another,0,0,250,0
12,81000,36,31,female,Higher education,Repair Services,0,2,31000,Unmarried,3,1,1682,1
2,40000,12,24,female,Secondary special education,Cell phones,0,2,41000,Another,1,1,266,0
4,21500,12,56,male,Secondary special education,Construction Materials,0,2,27000,Another,0,0,496,0
12,14500,10,25,female,Secondary special education,Cell phones,0,2,36000,Married,1,1,1703,1
10,14000,12,22,female,Secondary special education,Computers,0,2,26000,Another,0,1,1365,0
9,8500,3,36,female,Higher education,Fitness,1,2,81000,Another,1,1,1182,0
9,36000,12,62,female,Secondary education,Cell phones,0,0,14000,Another,2,1,1229,0
5,18500,6,37,male,Higher education,Computers,1,2,41000,Another,1,1,620,0
6,25500,11,31,male,Higher education,Fitness,0,0,66000,Another,2,0,735,0
12,6500,6,19,male,Secondary special education,Household appliances,0,2,16000,Unmarried,1,0,1569,0
7,16500,6,30,female,Incomplete higher education,Sporting goods,1,2,26000,Another,2,0,842,0
8,9000,12,34,male,Secondary special education,Cell phones,0,2,19000,Married,2,1,974,1
12,37000,6,29,female,Higher education,Household appliances,0,2,33000,Another,1,0,1670,0
3,21000,12,21,female,Secondary special education,Fitness,0,2,21000,Unmarried,0,1,452,0
8,11000,10,39,female,Secondary education,Household appliances,1,0,71000,Another,0,0,1047,0
8,16000,12,42,male,Secondary special education,Auto,0,2,24000,Married,1,0,965,0
4,16000,10,32,male,Secondary special education,Cell phones,0,2,26000,Another,0,0,477,0
12,17500,6,37,male,Secondary special education,Cell phones,0,2,36000,Another,0,1,1638,0
7,31500,6,28,female,Higher education,Computers,0,2,76000,Another,1,0,847,0
6,25500,24,56,male,Secondary special education,Furniture,0,2,27000,Another,1,0,750,0
1,66500,12,48,female,Secondary special education,Cell phones,0,1,111000,Another,0,0,53,0
1,13500,12,64,male,Higher education,Windows & Doors,0,2,26000,Another,1,1,123,0
5,35000,12,26,female,Higher education,Cell phones,0,2,28000,Another,0,1,649,0
10,5500,6,26,female,Secondary education,Cell phones,0,2,21000,Another,0,1,1242,0
7,20500,12,28,male,Higher education,Cell phones,0,2,41000,Another,1,1,871,0
3,221000,36,48,female,Higher education,Clothing,0,2,56000,Married,0,1,363,0
5,5000,6,23,female,Secondary special education,Cell phones,1,2,31000,Another,2,1,671,0
6,53500,12,37,male,Higher education,Training,1,0,26000,Another,0,1,692,0
9,23500,10,38,female,Higher education,Household appliances,0,0,41000,Another,1,1,1104,0
2,6500,4,31,female,Secondary special education,Cell phones,1,2,21000,Another,3,0,253,0
10,6500,6,31,female,Secondary special education,Cell phones,0,2,31000,Another,2,0,1264,0
1,43000,18,27,male,Secondary special education,Household appliances,1,2,19000,Another,0,0,63,0
4,16500,6,20,female,Secondary special education,Computers,0,2,31000,Married,0,0,470,0
5,37500,12,25,female,Secondary special education,Cell phones,0,0,56000,Another,1,1,677,0
10,13500,6,30,female,Secondary special education,Computers,0,2,21000,Another,1,1,1302,0
4,20500,6,27,female,Secondary special education,Household appliances,1,2,33000,Another,1,0,481,0
9,5500,5,47,male,Secondary special education,Clothing,0,2,16000,Unmarried,1,0,1163,0
10,28500,6,28,female,Secondary special education,Jewelry,0,0,41000,Another,2,1,1338,0
5,7000,3,58,male,Secondary special education,Household appliances,1,2,31000,Another,0,1,560,0
5,19000,24,28,male,Secondary special education,Household appliances,0,2,31000,Another,1,1,618,0
4,34500,12,26,male,Secondary special education,Furniture,1,2,76000,Married,1,0,534,0
2,36000,24,41,male,Secondary special education,Clothing,1,2,21000,Another,1,0,233,0
11,7000,10,38,female,Secondary special education,Cell phones,1,2,36000,Another,0,1,1470,0
5,15500,18,73,male,Secondary education,Household appliances,0,2,13000,Another,1,1,648,0
8,21500,18,29,male,Higher education,Household appliances,1,2,27000,Married,0,0,1078,0
5,12000,6,25,female,Secondary special education,Cell phones,0,2,12000,Another,0,1,651,1
1,13500,12,27,female,Incomplete higher education,Cell phones,0,2,21000,Another,1,1,20,0
2,21000,24,27,male,Secondary special education,Household appliances,1,2,16000,Another,1,0,231,0
9,11000,4,39,male,Higher education,Household appliances,1,2,19000,Married,0,1,1194,0
7,25000,12,22,male,Secondary special education,Cell phones,0,2,24000,Another,1,0,905,1
4,51000,18,30,female,Secondary education,Household appliances,0,2,39000,Another,3,0,466,0
4,15500,12,61,male,Secondary education,Windows & Doors,0,2,11000,Another,2,1,444,0
10,47000,11,34,male,Secondary education,Fitness,1,0,36000,Another,0,1,1299,0
12,15500,12,45,male,Secondary special education,Cell phones,1,2,20000,Another,2,1,1698,0
4,15000,12,41,male,Higher education,Computers,1,2,18000,Another,1,1,580,0
8,13500,10,25,female,Secondary special education,Household appliances,1,2,26000,Another,0,1,1094,0
12,18500,10,28,male,Secondary special education,Cell phones,0,2,18000,Another,1,1,1697,0
11,21500,9,22,female,Secondary special education,Household appliances,0,2,36000,Another,0,1,1561,1
11,14000,12,29,female,Secondary education,Computers,1,1,46000,Another,0,0,1463,0
1,9500,10,38,female,Secondary special education,Cell phones,1,2,26000,Another,1,1,30,0
2,46500,12,54,male,Higher education,Windows & Doors,0,0,71000,Another,0,1,178,0
3,43000,12,30,male,Higher education,Furniture,1,2,21000,Another,3,1,399,0
12,46500,24,26,male,Higher education,Cosmetics and beauty services,0,2,51000,Another,2,1,1718,0
7,19000,12,73,male,Secondary special education,Windows & Doors,0,2,16000,Another,0,1,820,0
7,52500,3,30,female,Secondary education,Auto,1,2,56000,Married,2,0,887,0
3,19500,12,23,female,Secondary special education,Household appliances,0,2,18000,Married,0,1,308,0
12,7500,3,42,male,Higher education,Cell phones,1,2,19000,Another,1,1,1704,0
10,13500,6,40,female,Secondary special education,Cell phones,1,2,29000,Married,0,1,1293,1
5,23000,12,26,male,Higher education,Cell phones,0,2,31000,Another,3,1,592,0
3,133000,12,57,female,Secondary education,Furniture,1,2,51000,Another,0,1,287,0
4,21000,6,28,female,Incomplete higher education,Cell phones,0,0,51000,Married,0,0,581,0
11,27000,10,25,male,Higher education,Household appliances,0,2,31000,Another,3,1,1566,0
1,20500,12,26,female,Secondary special education,Household appliances,0,2,26000,Another,2,1,88,0
1,31000,12,25,male,Higher education,Cell phones,0,0,36000,Married,3,1,120,0
9,12000,12,57,male,Secondary special education,Furniture,1,2,16000,Married,0,1,1126,0
10,18000,12,24,male,Secondary education,Cell phones,1,2,18000,Another,0,1,1214,0
12,7500,10,36,male,Secondary education,Cell phones,1,2,19000,Another,1,1,1706,0
7,27500,12,27,male,Incomplete higher education,Computers,0,2,26000,Another,2,1,816,0
9,9500,10,31,male,Higher education,Cell phones,1,2,22000,Unmarried,1,0,1223,0
11,7000,6,34,female,Higher education,Auto,1,2,39000,Another,3,1,1393,0
12,30000,4,68,male,Higher education,Clothing,0,0,41000,Another,2,1,1596,0
12,23000,12,38,female,Secondary special education,Computers,1,2,21000,Another,1,0,1627,0
11,27000,12,24,female,Secondary education,Furniture,0,2,21000,Another,1,1,1437,0
11,7500,3,26,male,Higher education,Construction Materials,0,2,13000,Married,2,0,1500,1
7,29000,10,42,male,Higher education,Jewelry,0,0,31000,Unmarried,1,0,822,0
3,10500,24,22,male,Secondary special education,Household appliances,1,2,26000,Married,0,1,309,0
5,41500,12,19,male,Secondary education,Jewelry,0,2,31000,Another,0,0,659,1
7,15000,6,22,female,Secondary special education,Computers,0,2,19000,Another,0,1,876,0
6,21000,3,47,female,Higher education,Household appliances,1,2,41000,Another,1,1,801,0
8,25000,18,30,female,Higher education,Cell phones,0,2,46000,Another,2,0,1012,1
8,13000,12,27,male,Secondary special education,Cell phones,0,2,31000,Another,1,0,1072,0
7,5000,12,24,male,Secondary special education,Household appliances,0,2,31000,Married,1,0,863,0
12,29000,12,31,male,Higher education,Furniture,0,2,26000,Another,2,1,1612,0
8,16500,12,31,male,Secondary special education,Household appliances,1,2,15000,Married,1,0,1046,0
10,48500,10,25,female,Higher education,Clothing,0,0,39000,Another,2,1,1370,0
2,19500,15,42,female,Higher education,Cell phones,1,2,21000,Another,2,1,165,0
1,6000,3,31,male,Secondary special education,Computers,0,2,26000,Another,1,0,89,0
12,52500,6,26,male,Higher education,Computers,0,0,101000,Another,0,0,1626,0
1,41000,18,46,male,Secondary special education,Cosmetics and beauty services,0,0,41000,Another,3,1,113,0
3,23000,10,23,female,Secondary special education,Cell phones,0,2,51000,Married,1,1,335,0
6,50500,18,75,male,Secondary special education,Windows & Doors,0,2,16000,Married,1,1,776,0
7,58000,12,41,male,Secondary special education,Boats,1,0,41000,Another,1,1,908,0
8,30000,12,33,female,Higher education,Household appliances,0,2,36000,Married,0,1,1021,1
3,176000,36,87,male,Higher education,Childen's goods,0,2,26000,Unmarried,0,1,422,0
1,21000,18,28,male,Higher education,Furniture,1,2,21000,Another,0,1,59,0
7,26000,6,27,female,Higher education,Cell phones,0,2,56000,Another,1,1,828,0
9,29500,12,78,female,Higher education,Boats,0,2,13000,Another,0,1,1109,0
12,30000,14,33,female,Secondary special education,Cell phones,1,2,39000,Another,0,1,1595,1
3,17500,18,44,male,Secondary special education,Household appliances,0,2,23000,Another,0,0,450,0
10,13000,6,48,male,Higher education,Cell phones,0,2,19000,Married,0,1,1291,0
11,13500,12,23,female,Secondary special education,Computers,1,2,31000,Married,1,1,1548,0
3,23500,6,53,male,Higher education,Furniture,0,2,26000,Another,0,1,442,0
5,31000,12,30,male,Higher education,Cell phones,0,1,21000,Another,3,1,605,0
4,21000,10,28,male,Higher education,Cell phones,0,0,21000,Another,2,1,434,0
5,22500,12,62,male,Higher education,Windows & Doors,1,2,16000,Married,3,1,631,0
1,20000,12,29,female,Secondary education,Cell phones,1,2,21000,Another,0,1,122,1
5,18000,12,31,female,Secondary special education,Household appliances,0,2,21000,Another,1,1,639,0
2,32000,10,57,male,Higher education,Household appliances,1,0,15000,Another,2,1,212,0
9,16000,3,23,male,Higher education,Furniture,0,2,22000,Another,3,1,1174,0
6,17000,12,26,female,Higher education,Audio & Video,0,2,26000,Married,3,1,732,0
8,27000,12,23,male,Secondary special education,Computers,0,2,23000,Another,0,1,1022,0
10,38000,12,30,female,Secondary special education,Furniture,0,2,16000,Another,0,0,1334,0
10,80500,15,25,male,Higher education,Tourism,0,2,31000,Another,0,0,1328,0
8,7500,3,36,female,Secondary education,Household appliances,0,2,31000,Another,2,0,1058,0
3,24000,12,27,female,Higher education,Cell phones,0,2,27000,Another,3,0,313,0
11,14500,10,39,female,Secondary special education,Household appliances,1,2,36000,Married,1,0,1486,0
4,12500,3,63,male,Secondary special education,Clothing,1,2,18000,Married,0,1,526,0
8,16500,6,32,female,Secondary special education,Household appliances,1,2,24000,Married,2,0,945,0
4,10000,4,48,male,Secondary special education,Construction Materials,1,2,14000,Married,2,0,513,0
11,16000,6,59,female,Secondary education,Cell phones,1,2,21000,Another,1,0,1421,1
11,12500,4,22,female,Higher education,Cell phones,0,2,24000,Married,2,1,1404,1
4,28500,15,30,female,Secondary special education,Household appliances,1,2,41000,Unmarried,1,0,579,0
11,31500,18,23,male,Secondary education,Audio & Video,0,0,19000,Another,2,0,1502,0
9,20500,12,28,male,Secondary special education,Household appliances,1,2,26000,Married,0,0,1107,0
4,15000,10,65,male,Secondary special education,Jewelry,0,2,11000,Married,2,0,533,0
6,22500,12,20,female,Secondary special education,Computers,0,2,21000,Another,0,1,755,0
2,19500,10,50,male,Higher education,Cell phones,1,2,21000,Another,2,1,227,0
11,18500,10,26,female,Incomplete higher education,Cell phones,0,2,36000,Another,1,0,1459,0
9,31000,12,21,female,Secondary special education,Cell phones,0,2,36000,Married,1,1,1117,1
9,34500,12,45,male,Higher education,Furniture,1,2,16000,Another,1,1,1123,0
8,10000,3,46,male,Higher education,Furniture,1,2,17000,Married,0,0,1080,0
9,8500,4,62,male,Secondary education,Construction Materials,1,2,8000,Another,0,1,1224,0
1,15500,12,21,female,Secondary special education,Cell phones,0,2,51000,Another,0,0,73,0
6,35500,6,22,male,Higher education,Cell phones,0,0,26000,Another,3,1,765,0
11,19500,6,29,male,Secondary special education,Cell phones,1,2,24000,Married,2,1,1536,0
8,19500,12,22,male,Secondary special education,Cell phones,0,2,19000,Another,3,1,1016,1
3,34000,10,51,male,Secondary special education,Construction Materials,0,2,51000,Another,0,0,374,0
7,73000,24,47,male,Higher education,Cosmetics and beauty services,0,1,28000,Another,1,1,896,1
4,23000,12,21,male,Secondary education,Computers,0,2,19000,Another,1,1,432,1
8,13500,10,40,male,Secondary special education,Cell phones,1,2,21000,Another,0,1,1042,0
3,17000,18,53,female,Secondary special education,Household appliances,1,2,16000,Another,0,1,293,0
5,8000,3,62,female,Secondary education,Household appliances,0,2,21000,Married,2,1,622,0
7,54000,12,27,female,Higher education,Computers,0,2,51000,Another,3,0,886,0
12,14000,12,29,female,Secondary special education,Cell phones,1,2,31000,Another,1,1,1661,1
6,13500,10,23,female,Higher education,Cell phones,0,2,31000,Another,2,1,795,0
12,32000,18,34,female,Secondary education,Cell phones,0,2,33000,Married,0,1,1716,1
12,40500,24,28,female,Secondary special education,Household appliances,0,2,45000,Married,2,1,1607,0
1,17500,10,36,female,Secondary special education,Cell phones,1,2,31000,Another,0,0,138,1
10,22500,12,19,male,Secondary education,Cell phones,0,2,21000,Another,1,1,1249,0
5,59000,6,47,female,Higher education,Furniture,0,0,31000,Another,1,1,613,0
2,14000,12,40,female,Higher education,Household appliances,1,2,51000,Another,2,0,243,0
12,30000,18,39,male,Higher education,Jewelry,1,2,21000,Another,1,0,1645,0
10,8500,6,30,female,Secondary special education,Cell phones,1,2,31000,Another,0,1,1390,0
3,20500,10,43,male,Secondary special education,Computers,1,2,21000,Another,3,1,333,0
8,26500,12,24,male,Higher education,Furniture,0,2,41000,Married,1,0,1035,0
3,39000,18,50,female,Secondary special education,Boats,0,2,33000,Another,1,0,394,0
11,30500,6,29,male,Higher education,Fitness,0,0,61000,Another,3,0,1491,0
6,28500,6,21,female,Secondary education,Household appliances,0,2,41000,Married,2,1,744,0
2,148000,18,35,female,Secondary special education,Furniture,1,2,31000,Another,3,0,264,0
3,19500,12,24,female,Secondary special education,Cell phones,1,2,27000,Another,2,0,401,0
6,18000,6,28,male,Secondary special education,Furniture,1,2,23000,Another,0,1,789,0
8,27000,18,24,female,Secondary special education,Computers,0,2,21000,Another,0,0,1020,0
11,12000,4,51,male,Secondary special education,Household appliances,0,0,31000,Another,0,0,1512,0
3,97000,24,35,male,Higher education,Household appliances,1,2,29000,Another,1,1,327,0
12,10500,6,60,male,Secondary special education,Household appliances,0,2,23000,Another,3,0,1651,0
8,29000,12,48,female,Secondary education,Computers,1,2,41000,Another,1,0,1053,0
10,8000,3,31,male,Secondary special education,Jewelry,1,2,21000,Another,1,1,1341,0
1,18000,12,22,male,Secondary education,Cell phones,1,2,19000,Another,0,1,134,1
6,34500,12,32,female,Secondary special education,Cell phones,0,2,31000,Married,0,1,733,0
2,20000,6,40,female,Secondary special education,Cell phones,1,2,36000,Another,3,1,209,0
7,7500,6,21,male,Incomplete higher education,Cell phones,0,2,17000,Another,1,0,852,0
1,12000,10,58,male,Secondary special education,Household appliances,0,2,21000,Married,2,0,35,0
8,50500,27,28,female,Secondary education,Household appliances,0,2,34000,Another,1,1,958,1
9,21000,18,26,female,Secondary special education,Cell phones,0,2,26000,Married,0,0,1161,0
12,49000,18,24,female,Secondary special education,Computers,1,2,36000,Another,1,0,1599,0
10,35000,7,58,male,Higher education,Clothing,1,2,31000,Married,3,1,1375,0
7,35500,12,24,male,Higher education,Household appliances,0,0,26000,Married,3,0,850,0
9,12000,24,28,female,Secondary special education,Household appliances,0,2,26000,Married,0,0,1105,0
2,53500,36,48,male,Secondary education,Windows & Doors,1,2,20000,Another,2,1,166,0
9,24500,12,20,male,Secondary special education,Household appliances,0,2,26000,Another,1,1,1201,0
12,29500,10,36,male,Higher education,Household appliances,1,2,36000,Another,0,0,1580,0
4,12000,6,23,male,Higher education,Household appliances,0,2,31000,Another,2,0,488,0
12,35500,6,27,female,Higher education,Computers,0,0,51000,Married,2,1,1581,0
8,26000,6,53,male,Secondary special education,Clothing,1,2,16000,Unmarried,1,1,1048,0
8,16500,12,74,male,Secondary special education,Household appliances,0,2,19000,Another,2,0,949,0
6,21000,5,32,male,Secondary education,Furniture,1,2,41000,Married,1,0,748,0
7,85000,36,41,male,Higher education,Household appliances,0,2,31000,Married,1,0,932,0
10,17000,12,65,male,Higher education,Furniture,0,2,11000,Another,1,0,1269,0
4,12500,12,24,male,Incomplete higher education,Household appliances,0,2,22000,Another,2,0,494,0
9,29500,24,39,female,Secondary special education,Household appliances,1,2,66000,Another,0,1,1208,0
3,27500,12,27,female,Higher education,Cell phones,0,2,20000,Married,0,1,349,0
10,13000,12,44,female,Secondary special education,Household appliances,0,2,28000,Another,2,1,1284,0
4,9500,3,75,male,Secondary education,Furniture,0,2,23000,Another,3,1,542,0
2,31500,12,26,female,Secondary education,Cell phones,0,2,31000,Another,2,1,189,1
7,13000,6,34,male,Secondary special education,Furniture,1,2,25000,Another,0,0,892,0
2,20000,15,27,male,Higher education,Cell phones,0,2,31000,Another,1,1,153,0
11,25000,12,26,male,Higher education,Household appliances,1,2,23000,Another,0,1,1408,0
3,38500,24,21,female,Higher education,Computers,0,2,26000,Married,0,1,338,0
11,12000,12,35,male,Higher education,Furniture,1,2,41000,Married,2,0,1432,0
4,15000,6,23,female,Secondary special education,Clothing,0,2,28000,Another,1,1,578,0
11,22000,10,21,female,Secondary special education,Computers,0,2,26000,Married,1,1,1511,0
5,14500,24,38,male,Secondary special education,Household appliances,1,2,11000,Another,0,0,646,0
11,100000,15,32,male,Incomplete higher education,Tourism,1,2,41000,Married,1,1,1523,0
9,23000,10,26,female,Higher education,Cell phones,0,2,31000,Another,2,0,1203,1
8,73000,9,56,male,Secondary special education,Household appliances,0,2,25000,Another,2,1,1005,0
